family,row_id,status,cell_ids,width,concentration,operation,payload_bytes,median_ns,p95_ns,observed,lower_bound,upper_bound,reason
C,C-001,PASS,w2/four-port/all_reduce/8,,four-port,,,60403.0,,1.504778218291071,0.5,2.0,FG-4 consistency anchor
C,C-002,PASS,w8/four-port/all_reduce/8,,four-port,,,71664.0,,1.410986414648553,0.5,2.0,FG-4 consistency anchor
C,C-003,PASS,w8/four-port/all_to_allv/8,,four-port,,,126407.0,,1.4075719614720783,0.5,2.0,FG-4 consistency anchor
R/E1,E1-001,VOID,w8/one-port/all_gather/8;w8/four-port/all_gather/8,,,all_gather,8,,,0.9057559698347367,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-002,VOID,w8/one-port/all_gather/64;w8/four-port/all_gather/64,,,all_gather,64,,,0.8694221761270413,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-003,VOID,w8/one-port/all_gather/512;w8/four-port/all_gather/512,,,all_gather,512,,,0.7496081292903086,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-004,VOID,w8/one-port/all_gather/4096;w8/four-port/all_gather/4096,,,all_gather,4096,,,0.818302045206359,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-005,VOID,w8/one-port/all_gather/16384;w8/four-port/all_gather/16384,,,all_gather,16384,,,1.151275745807787,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-006,VOID,w8/one-port/all_gather/65536;w8/four-port/all_gather/65536,,,all_gather,65536,,,1.2584132909912484,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-007,VOID,w8/one-port/all_gather/131072;w8/four-port/all_gather/131072,,,all_gather,131072,,,0.8966512710321738,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-008,VOID,w8/one-port/all_gather/196608;w8/four-port/all_gather/196608,,,all_gather,196608,,,1.170196795761322,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-009,VOID,w8/one-port/all_gather/262144;w8/four-port/all_gather/262144,,,all_gather,262144,,,1.3434721002434165,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-010,VOID,w8/one-port/all_gather/393216;w8/four-port/all_gather/393216,,,all_gather,393216,,,1.2208830090705727,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
R/E1,E1-011,VOID,w8/one-port/all_gather/524288;w8/four-port/all_gather/524288,,,all_gather,524288,,,1.3752374115644792,,,FG-2 contradicted the declared concentration at attempt scope; the frozen rule voids the consumed cells and forbids relabeling
